course,A,B,C,D,F,total,gpa,Q,professor,semester,year,college,department
BMEN-321,1,5,0,0,0,6,3.166,1,CARRELL T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-322,8,0,0,0,0,8,4.000,0,WALSH A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-341,9,5,4,1,1,20,3.000,2,GEORGE J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-343,12,2,1,0,0,15,3.733,0,CLEVENGER A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-351,21,3,1,0,0,25,3.800,0,DIAZ VASQUEZ J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-351,45,17,1,0,0,63,3.698,6,HANKS J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-351,22,30,3,0,0,55,3.345,4,HANKS J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-353,52,4,0,0,0,56,3.928,0,BUJNOCH Z ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-353,50,7,0,0,0,57,3.877,0,BUJNOCH Z ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-353,29,18,0,0,0,47,3.617,0,BUJNOCH Z ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,6,0,0,0,0,6,4.000,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,7,0,0,0,0,7,4.000,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,9,0,0,0,0,9,4.000,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,6,1,0,0,0,7,3.857,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,9,0,0,0,0,9,4.000,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,9,0,0,0,0,9,4.000,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,5,0,0,0,0,5,4.000,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,7,0,0,0,0,7,4.000,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,8,0,0,0,0,8,4.000,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,9,0,0,0,0,9,4.000,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,8,1,0,0,0,9,3.888,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,8,0,1,0,0,9,3.777,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,9,1,0,0,0,10,3.900,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,6,1,0,0,0,7,3.857,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,11,0,0,0,0,11,4.000,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-361,9,2,0,0,0,11,3.818,0,GINN-HEDMAN A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-404,27,20,0,0,0,47,3.574,0,SOUTHARD F ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-420,7,4,0,0,0,11,3.636,0,MCDOUGALL M ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-425,18,0,0,0,0,18,4.000,0,BAGNATO V ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-432,17,25,10,0,0,52,3.134,0,HWANG W ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-453,52,1,0,0,0,53,3.981,0,BUJNOCH Z ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-453,57,0,0,0,0,57,4.000,0,BUJNOCH Z ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-453,44,5,0,0,0,49,3.897,0,BUJNOCH Z ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-457,41,9,0,0,0,50,3.820,0,AVAZMOHAMMADI R ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-458,14,4,0,0,0,18,3.777,2,AMBROSE C ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-461,30,8,0,0,0,38,3.789,0,CRISCIONE J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-482,18,10,3,0,0,31,3.483,0,MABBOTT S ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-486,45,2,0,0,0,47,3.957,2,TIAN L ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-489,6,0,0,0,1,7,3.428,0,CEYLAN KOYDEMIR H ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-491,5,0,0,0,0,5,4.000,1,CEYLAN KOYDEMIR H ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-491,8,0,0,0,0,8,4.000,0,ALGE D ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-491,5,0,0,0,0,5,4.000,0,ZHAO F ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-491,6,0,0,0,0,6,4.000,0,LELE T ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-491,11,0,0,0,0,11,4.000,0,GAHARWAR A ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-604,13,9,1,0,0,23,3.521,0,SOUTHARD F ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-625,7,0,0,0,0,7,4.000,0,BAGNATO V ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-632,3,3,0,0,0,6,3.500,0,HWANG W ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-637,40,5,0,0,0,45,3.888,0,HORN S ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-643,28,3,1,0,0,32,3.843,1,HARIDAS B ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-657,10,3,0,0,0,13,3.769,0,AVAZMOHAMMADI R ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-658,5,1,0,0,0,6,3.833,1,AMBROSE C ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-661,18,0,0,0,0,18,4.000,0,CRISCIONE J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-676,36,1,0,0,0,37,3.972,0,HANKS J ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-682,18,13,2,0,0,33,3.484,1,MABBOTT S ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-689,10,2,0,0,0,12,3.833,0,YAKOVLEV V ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-689,10,0,0,0,0,10,4.000,0,BISWAS S ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BMEN-689,12,0,0,0,0,12,4.000,0,CEYLAN KOYDEMIR H ,FALL,2024,ENGINEERING,BIOMEDICAL ENGINEERING
BIOT-635,17,12,0,0,0,29,3.586,1,WOODARD S ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
BIOT-645,12,0,0,0,0,12,4.000,0,YOUNG C ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
BIOT-645,11,0,0,0,0,11,4.000,0,YOUNG C ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
BIOT-689,17,8,3,0,0,28,3.500,0,REEVES B ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-201,61,21,8,0,1,91,3.549,2,HOLTZAPPLE M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-201,11,10,3,0,0,24,3.333,0,HOLTZAPPLE M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-201,55,5,2,1,0,63,3.809,2,HOLTZAPPLE M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-204,3,1,1,0,0,5,3.400,0,JAYARAMAN A ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-204,2,5,0,0,0,7,3.285,0,MASHUGA C ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-204,5,3,6,5,0,19,2.421,1,JAYARAMAN A ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-204,17,19,22,9,0,67,2.656,8,MASHUGA C ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-204,13,19,21,7,1,61,2.590,14,MASHUGA C ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-205,4,12,7,0,1,24,2.750,3,LELE P ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-304,1,3,1,0,0,5,3.000,0,AKBULUT M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-304,7,1,0,0,0,8,3.875,0,SENTMANAT M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-304,16,37,7,0,1,61,3.098,0,AKBULUT M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-304,55,36,4,0,1,96,3.500,0,SENTMANAT M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-320,7,2,0,0,0,9,3.777,0,WU H ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
